Sass Bálint.	Duplakocka, igei szerkezetek, foci.	<em>ELTE DiAGram,</em> online, 2021. június 4.		sb_dc_foci_sl.pdf
Sass Bálint.	Hadifoglyok &ndash; magyar nevek &ndash; cirill betûk.	<em>Magyar Tudomány Ünnepe,</em> online, 2020. november 19.		http://tinyurl.com/sb-ea-hadifoglyok-matu2020
Sass Bálint.	Keresés korpuszban.	<em>Beszéd- és nyelvelemzõ szoftverek workshop</em>, SZTE JGYPK, Szeged, 2018. október 19.		sb_tut_szeged.pdf
Sass Bálint.	Az igei szerkezetek algebrai struktúrája, avagy a duplakocka modell.	<em>Intézeti elõadás,</em> Budapest, MTA Nyelvtudományi Intézet, 2018. március 22.		sb_duplakocka_sl.pdf
Sass Bálint.	Korpuszkeresés, NoSkE, Mtsz, MNSZ2, NKP.	<em>Tutorial, 1. rész,</em> Budapest, MTA Nyelvtudományi Intézet, 2016. június 1.		sb_korpuszkereses_tutorial1.pdf
Sass Bálint.	A kibõvített <a target="_blank" href="http://clara.nytud.hu/mtsz">Magyar történeti szövegtár</a> új keresõfelülete.	<em>A nyelvtörténeti kutatások újabb eredményei IX.</em> Szeged, SZTE BTK, 2016. április 27.		sb_nykue.pdf
Sass Bálint.	Korpusznyelvészet.	Meghívott elõadás, <em>ELTE Korpusznyelvészet tárgy részeként,</em> Budapest, ELTE BTK, 2016. április 18.		sb_elte_korpusznyelveszet.pdf
Sass Bálint.	Korpuszok, lekérdezõk, <a target="_blank" href="http://corpus.nytud.hu/nkp">Nemzeti Korpuszportál</a>.	Meghívott elõadás, <em>DHU2015 &bdquo;Számítógép az irodalomtudományban&rdquo; workshop,</em> Budapest, MTA Könyvtára, 2015. november 24.		sb_nkp_sl.pdf 
Sass Bálint.	Korpuszlekérdezõk evolúciója.	<em>Magyar Tudomány Ünnepe,</em> Budapest, MTA Székház, 2015. november 10.		sb_korp_matu_sl.pdf
Sass Bálint.	28 millió szintaktikailag elemzett mondat és 500000 igei szerkezet.	<em>NLP meetup,</em> Budapest, 2015. április 29.		sb_isz_m_sl.pdf 
Sass Bálint.	Az Utónévkeresõ.	<em>Intézeti elõadás,</em> Budapest, MTA Nyelvtudományi Intézet, 2015. január 29.		sb_up_int_sl.pdf 
Sass Bálint.	Verb Argument Browser &ndash; Argument Frames in the Hungarian National Corpus.	<em>Corpus resources for quantitative and psycholinguistic analysis workshop,</em> Eger, 2-3 June 2014		sb_vab_eger_sl.pdf 
Sass Bálint.	Az <a target="_blank" href="http://corpus.nytud.hu/utonevportal">Utónévkeresõ</a> bemutatása.	<em>Magyar Tudomány Ünnepe,</em> Budapest, MTA Székház, 2013. november 11.		sb_utonevportal_matu_sl.pdf
Sass Bálint.	Az új magyar Braille-rövidírás kialakítása.	<em>Magyar Tudomány Ünnepe,</em> Budapest, MTA Székház, 2013. november 11.		sb_braille_rovidiras_matu_sl.pdf
Sass Bálint.	Keresés a BUSZI-2 irányított beszélgetéseinek korpuszában.	<em>BUSZI bemutató,</em> Budapest, MTA Nyelvtudományi Intézet, 2012. október 2.		sb_buszi_bemutato.pdf
Sass Bálint.	MNSZ &ndash; Mazsola &ndash; fordítás.	Meghívott elõadás, <em>Fordítók és Tolmácsok Õszi Konferenciája,</em> Budapest, 2012. szeptember 28.		sb_mazsford_sl.pdf
Sass Bálint.	A <em>Mazsola</em> korpuszlekérdezõ.	Meghívott elõadás, Eötvös Collegium Angol-Amerikai Mûhely, 2012. április 27.		sb_ec_mazsi_sl.pdf
Sass Bálint.	A <em>Magyar igei szerkezetek</em> szótár felépítése.	<em>Könyvbemutató,</em> Budapest, MTA Nyelvtudományi Intézet, 2011. június 23.		sb_igei-szerk-felepitese.pdf
Sass Bálint.	Egy általános modellnek megfelelõ szerkezetek kinyerése korpuszból.	<em>Intézeti elõadás,</em> Budapest, MTA Nyelvtudományi Intézet, 2011. június 16.		sb_alt_modell.pdf
Sass Bálint.	Primáciahatás fordítások értékelésekor.	<em>XIX. MAKOG,</em> Kaposvár, 2011. január 27-29.		sb_prim_sl.pdf
Blaho Sylvia, Sass Bálint, Simon Eszter.	A készülõ MGTSz adatbázis felépítése.	<em>Mondattani jelenségek a Jókai-kódexben mûhelykonferencia</em>, Budapest, MTA Nyelvtudományi Intézet, 2010. február 4.		bs_se_sb_jokai_ws.pdf
Oravecz Csaba és Sass Bálint.	Spontán beszélt nyelvi adatbázisok építésének technolgiai kérdései.	<em>Beszédkutatás 2009 konferencia,</em> Budapest, 2009. október 16-17.		ocs_sb_beszedkutatas_2009_poszter.pdf
Oravecz Csaba és Sass Bálint.	Szöveges lejegyzésbõl nyelvi adatbázis.	<em>I. BUSZI szimpózium,</em> Budapest, 2008. december 9.		ocs_sb_buszidb.pdf
Sass Bálint.	&bdquo;Mazsola&rdquo;	<em>&bdquo;Gépekkel emberi nyelven&rdquo; &ndash; A Nyelv- és Beszédtechnológiai Platform bemutatkozó konferenciája,</em> Budapest, 2008. december 2.		sb_mazsola_poszter.pdf
Sass Bálint.	Bírálatok és konferenciák.	<em>Doktoranduszi szeminárium, PPKE ITK,</em> Budapest, 2008. november 7.		sb_cfp.pdf
Sass Bálint.	Eszköz a magyar igék bõvítményszerkezetének vizsgálatára.	<em>Magyar Nyelvtudományi Társaság felolvasóülése,</em> Budapest, 2008. május 13.		sb_mazsi_sl.pdf
Sass Bálint.	Eszköz a magyar igék bõvítményszerkezetének vizsgálatára.	<em>Nyelvész-doktoranduszok 11. Országos Konferenciája,</em> Szeged, 2007. december 6-7.		sb_bovszerk_sl.pdf
Sass Bálint.	&bdquo;Jóízû mazsolázás a korpuszból&rdquo;	<em>MANYE XVII. kongresszusa,</em> Siófok, 2007. április 19-21.		sb_joizu.pdf
<!--Sass Bálint.	A Hunglish korpusz mint oktatási segédeszköz.	<em>MANYE XVI. kongresszusa,</em> Gödöllõ, 2006. április 10-12.	sb_hunglish.rtf	sb_hunglish.pdf-->
Sass Bálint.	Számítógépes nyelvi adatbázisok a magyarórán.	<em>MANYE XVI. kongresszusa,</em> Gödöllõ, 2006. április 10-12.		sb_szgnyam.pdf
Sass Bálint.	A Magyar Nemzeti Szövegtár használata.	<em><a class="szurke2" href="http://corpus.nytud.hu/manye">MANYE vitaülés</a>,</em> MTA, Nyelvtudományi Intézet, Budapest, 2006. február 20.		http://corpus.nytud.hu/manye/sb_mnsz_haszn.ppt
Sass Bálint.	Számítógépes nyelvi adatbázisok a magyarórán.	<em>IV. Gramma Nyelvészeti Napok,</em> Párkány, 2005. november 24-26.	sb_szgnyam.rtf
