Simon Eszter.	Legyen nevem Neytiri vagy Zrínyi Ilona! &ndash; a magyar névváltoztatásról.	nyest.hu, 2010. február 23.	http://www.nyest.hu/hirek/legyen-nevem-neytiri-vagy-zrinyi-ilona-a-magyar-nevvaltoztatasrol
Simon Eszter.	Yoda mester és a nyelvtipológia.	nyest.hu, 2010. március 10.	http://www.nyest.hu/hirek/yoda-mester-es-a-nyelvtipologia
Simon Eszter.	Keressen ómagyar szövegekben ön is!.	nyest.hu, 2010. március 29.	http://www.nyest.hu/hirek/keressen-omagyar-szovegekben-on-is
Simon Eszter.	Kémek, katonák, nyelvészek: a lehallgatástól a gépi fordításig.	nyest.hu, 2010. április 22.	http://www.nyest.hu/hirek/titkosszolgalatok-nyelveszete
Simon Eszter.	Hitler és a Kodály körönd - beszédes utcanevek.	nyest.hu, 2010. április 26.	http://www.nyest.hu/hirek/hitler-es-a-kodaly-korond-beszedes-utcanevek
Simon Eszter.	Az EU-t is érdekli a nyelvtechnológia.	nyest.hu, 2010. június 2.	http://www.nyest.hu/hirek/ami-a-nyelvtechnologia-teren-ujdonsag-beszamolo-maltarol
Simon Eszter.	Európa saját sémi nyelve.	nyest.hu, 2010. június 24.	http://www.nyest.hu/hirek/europa-egyetlen-semi-nyelve
Simon Eszter.	Állatok nevelte gyerekek: vadon felnõni.	nyest.hu, 2010. július 28.	http://www.nyest.hu/hirek/mauglik-a-valosagban-vadon-nott-farkasgyerekek
Simon Eszter.	A mesterséges intelligenciáról tanácskoztak Lisszabonban.	nyest.hu, 2010. augusztus 25.	http://www.nyest.hu/hirek/a-mesterseges-intelligenciarol-tanacskoztak-lisszabonban
Simon Eszter.	Integráljunk vagy szegregáljunk?.	nyest.hu, 2010. szeptember 17.	http://www.nyest.hu/hirek/egy-vilaghiru-magyar-tudos
Simon Eszter.	Beszédtechnológiával az esélyegyenlõségért.	nyest.hu, 2010. október 4.	http://www.nyest.hu/hirek/beszedtechnologiaval-az-eselyegyenlosegert
Simon Eszter.	Kreatív iparágak konferenciája.	nyest.hu, 2010. november 3.	http://www.nyest.hu/hirek/kreativ-iparagak-konferenciaja
Simon Eszter.	A restnök, a szaladár és a tevepárduc.	nyest.hu, 2010. december 1.	http://www.nyest.hu/hirek/a-restnok-a-szaladar-es-a-teveparduc
Simon Eszter.	MSZNY 2010: A statisztika diadala?.	nyest.hu, 2010. december 9.	http://www.nyest.hu/hirek/mszny-2010
Simon Eszter.	Gondolkodás és tapasztalat, avagy számítógép és nyelv.	nyest.hu, 2010. december 29.	http://www.nyest.hu/hirek/gondolkodas-es-tapasztalat-avagy-szamitogep-es-nyelv
Simon Eszter.	Szóból ért...? Ember, gép, nyelvtechnológia.	nyest.hu, 2011. február 4.	http://www.nyest.hu/hirek/szobol-ert-ember-gep-nyelvtechnologia
Simon Eszter.	Az összes fordító egy helyen: itranslate4.eu.	nyest.hu, 2011. május 17.	http://www.nyest.hu/hirek/az-osszes-fordito-egy-helyen-itranslate4-eu
Simon Eszter.	Nyelvtechnológiai újrahasznosítás kalákában: CESAR.	nyest.hu, 2011. június 10.	http://www.nyest.hu/hirek/nyelvtechnologiai-ujrahasznositas-kalakaban-cesar
Simon Eszter.	A soknyelvû Európa és a nyelvtechnológia: META-Forum 2011.	nyest.hu, 2011. július 7.	http://www.nyest.hu/hirek/a-soknyelvu-europa-es-a-nyelvtechnologia-meta-forum-2011
Simon Eszter.	Nyomtatásban jelent meg az adatbázis.	nyest.hu, 2011. augusztus 4.	http://www.nyest.hu/hirek/nyomtatasban-jelent-meg-az-adatbazis
Simon Eszter (szerkesztõ)	Szóból ért...? Ember, gép, nyelvtechnológia.	Nyelvtechnológia elõadás és magazin a Mindentudás egyeteme 2.0 sorozatában.	http://mindentudas.hu/elodasok-cikkek/item/2520-sz%C3%B3b%C3%B3l-%C3%A9rt?-%E2%80%93-ember-g%C3%A9p-nyelvtechnol%C3%B3gia.html
